rank,candidate_id,overall_score,percentile,experience_score,skill_score,career_score,behaviour_score,recruiter_score,semantic_score,explanation
1,CAND_0000001,59.76,98.0,100.0,33.33,41.67,64.77,71.67,62.12,"Candidate has 6.9y experience — within the required 5.0–9.0y range. | Matched 2/6 required skills (aws, python); missing: docker, machine learning, retrieval.... | Career evaluated across 2 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 86% complete; recently active; open to work. | Recruiter signals: partial salary overlap; work mode compatible (onsite); 2/3 verifications passed. | Semantic similarity is strong (cosine=0.6212, score=62.1/100)."
2,CAND_0000031,58.61,96.0,100.0,33.33,37.22,68.5,68.33,57.26,"Candidate has 6.0y experience — within the required 5.0–9.0y range. | Matched 2/6 required skills (machine learning, retrieval); missing: aws, docker, python.... | Career evaluated across 4 role(s): low title alignment, limited industry overlap, some short-tenure roles flagged, non-linear seniority path. | Behaviour signals: profile 83% complete; recently active; open to work; average assessments (63/100). | Recruiter signals: partial salary overlap; work mode compatible (hybrid); 1/3 verifications passed. | Semantic similarity is moderate (cosine=0.5726, score=57.3/100)."
3,CAND_0000027,56.82,94.0,78.0,50.0,36.67,55.98,61.67,68.2,"Candidate has 3.9y experience — 1.1y below the minimum 5.0y required. | Matched 3/6 required skills (aws, docker, retrieval); missing: machine learning, python, vector database. | Career evaluated across 2 role(s): low title alignment, limited industry overlap, some short-tenure roles flagged, non-linear seniority path. | Behaviour signals: profile 31% complete; moderately active; open to work. | Recruiter signals: partial salary overlap; long notice period (90d); work mode compatible (hybrid); 2/3 verifications passed. | Semantic similarity is strong (cosine=0.6820, score=68.2/100)."
4,CAND_0000032,52.74,92.0,100.0,33.33,40.37,30.87,58.33,58.74,"Candidate has 8.1y experience — within the required 5.0–9.0y range. | Matched 2/6 required skills (docker, python); missing: aws, machine learning, retrieval.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 35% complete; inactive profile. | Recruiter signals: partial salary overlap; long notice period (150d); work mode compatible (hybrid); 1/3 verifications passed. | Semantic similarity is moderate (cosine=0.5874, score=58.7/100)."
5,CAND_0000010,50.93,90.0,92.0,16.67,45.5,47.4,61.67,59.86,"Candidate has 4.6y experience — 0.4y below the minimum 5.0y required. | Matched 1/6 required skills (python); missing: aws, docker, machine learning.... | Career evaluated across 1 role(s): low title alignment, limited industry overlap, stable tenure, positive seniority trajectory. | Behaviour signals: profile 81% complete; moderately active; average assessments (68/100); low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (120d); work mode compatible (hybrid); 2/3 verifications passed. | Semantic similarity is moderate (cosine=0.5986, score=59.9/100)."
6,CAND_0000038,50.77,88.0,100.0,16.67,39.19,41.32,61.67,63.97,"Candidate has 6.7y experience — within the required 5.0–9.0y range. | Matched 1/6 required skills (docker); missing: aws, machine learning, python.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 35% complete; moderately active; open to work; low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (90d); work mode compatible (hybrid); 2/3 verifications passed. | Semantic similarity is strong (cosine=0.6397, score=64.0/100)."
7,CAND_0000015,50.66,86.0,100.0,16.67,36.96,40.85,61.67,68.07,"Candidate has 5.4y experience — within the required 5.0–9.0y range. | Matched 1/6 required skills (aws); missing: docker, machine learning, python.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, some short-tenure roles flagged, non-linear seniority path. | Behaviour signals: profile 79% complete; inactive profile; open to work; low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (90d); work mode compatible (remote); 2/3 verifications passed. | Semantic similarity is strong (cosine=0.6807, score=68.1/100)."
8,CAND_0000024,49.0,84.0,100.0,16.67,35.64,38.14,68.33,51.47,"Candidate has 7.5y experience — within the required 5.0–9.0y range. | Matched 1/6 required skills (docker); missing: aws, machine learning, python.... | Career evaluated across 2 role(s): low title alignment, limited industry overlap, stable tenure, positive seniority trajectory. | Behaviour signals: profile 63% complete; inactive profile; average assessments (65/100); low interview/offer completion. | Recruiter signals: partial salary overlap; work mode compatible (hybrid); 1/3 verifications passed. | Semantic similarity is moderate (cosine=0.5147, score=51.5/100)."
9,CAND_0000048,48.92,82.0,96.5,16.67,30.75,49.67,58.33,60.22,"Candidate has 9.7y experience — 0.7y above the maximum 9.0y preferred. Likely over-qualified but still considered. | Matched 1/6 required skills (aws); missing: docker, machine learning, python.... | Career evaluated across 4 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 62% complete; moderately active; open to work. | Recruiter signals: partial salary overlap; long notice period (120d); work mode compatible (hybrid); 1/3 verifications passed. | Semantic similarity is strong (cosine=0.6022, score=60.2/100)."
10,CAND_0000026,48.92,80.0,100.0,16.67,32.01,28.24,81.67,59.48,"Candidate has 6.8y experience — within the required 5.0–9.0y range. | Matched 1/6 required skills (docker); missing: aws, machine learning, python.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, stable tenure, positive seniority trajectory. | Behaviour signals: profile 80% complete; inactive profile; low interview/offer completion. | Recruiter signals: partial salary overlap; notice period acceptable (30d); work mode compatible (hybrid); 2/3 verifications passed. | Semantic similarity is moderate (cosine=0.5948, score=59.5/100)."
11,CAND_0000043,48.74,78.0,100.0,16.67,38.83,25.57,61.67,68.0,"Candidate has 8.3y experience — within the required 5.0–9.0y range. | Matched 1/6 required skills (aws); missing: docker, machine learning, python.... | Career evaluated across 4 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 57% complete; inactive profile; low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (120d); work mode compatible (remote); 2/3 verifications passed. | Semantic similarity is strong (cosine=0.6800, score=68.0/100)."
